Date,PM2.5,PM10,Average CO (mg/m3),Average SO2 (ug/m3),NO (ug/m3),NO2 (ug/m3),WDir(Deg),WSpd(m/s),GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tdry(C),TWet(C),RH(%),Tmax(C),Tmin(C),Tgmin(C),ET05(C),ET10(C),ET20(C),ET30(C),ET100(C),Pmsl(hPa),Pstn(hPa),Sun(Hrs),Rad(MJ/m2),lightCount,heavyCount
2021-10-19,4.25675,12.26525,0.1217092,1.5472662,23.0784893,32.5606461,335,2.3,207,14.4,254,0.4,16.7,10.4,40.0,24.1,9.3,-,-,-,-,-,-,1011.4,1010.7,-,21.77,5549.636206896552,592.3557692307693
2021-10-20,3.852,9.788375,0.197705,3.3437984,36.0777359,41.512043,271,1.3,48,7.2,153,0.0,9.6,7.3,70.0,13.7,4.1,-,-,-,-,-,-,1030.5,1029.8,-,13.41,5758.4706896551725,603.5826923076924
2021-10-21,4.991875,12.46875,0.2259007,5.4453623,37.2297859,38.148777,11,1.7,41,7.2,170,0.0,11.1,8.6,69.0,16.0,3.4,-,-,-,-,-,-,1031.8,1031.1,-,24.14,5868.904181184669,616.3826923076923
2021-10-22,5.204625,16.605,0.1998723,1.2022302,32.8716545,32.1500702,27,2.1,62,11.3,358,0.0,12.8,9.3,60.0,16.1,5.4,-,-,-,-,-,-,1036.3,1035.6,-,25.69,6547.094117647059,609.0470085470085
2021-10-23,4.730875,14.5165,0.1480709,0.7845324,16.64151,15.6449642,48,4.6,72,11.8,397,0.0,12.5,9.5,65.0,15.4,10.0,-,-,-,-,-,-,1028.9,1028.2,-,19.89,5211.976987447699,278.4334862385321
2021-10-24,8.308875,20.645625,0.2015532,4.3110791,20.2802887,20.5382729,56,3.8,62,9.3,251,0.0,13.4,11.7,80.0,18.8,11.6,-,-,-,-,-,-,1014.5,1013.8,-,19.50,4540.679916317991,199.9059633027523
2021-10-25,6.796374999999999,13.081125,0.1614823,7.5377698,19.5687771,30.75741,236,3.7,193,7.7,213,0.0,13.6,12.2,84.0,22.0,11.4,-,-,-,-,-,-,1012.9,1012.2,-,23.96,4678.529288702929,293.2775229357798
2021-10-26,4.944,9.745625,0.2362979,3.177554,38.1330948,36.073597,132,1.2,89,5.7,173,0.2,12.1,10.9,86.0,17.5,11.2,-,-,-,-,-,-,1018.3,1017.6,-,10.60,6121.410041841004,601.151376146789
2021-10-27,5.6305,10.631874999999999,0.2149504,1.1271942,28.7931652,34.4440994,228,2.7,193,6.2,177,0.0,13.2,12.2,88.0,20.7,11.8,-,-,-,-,-,-,1018.0,1017.3,-,15.96,6289.955319148936,629.1931818181819
2021-10-28,5.031124999999999,12.178625,0.2340922,1.2216547,35.081295,29.412014,7,1.8,81,8.2,230,3.4,12.3,11.5,90.0,15.6,11.9,-,-,-,-,-,-,1018.4,1017.7,-,9.13,6715.065022421525,654.9232673267327
2021-10-29,4.188,8.619625000000001,0.1673972,2.5565468,23.4487762,29.3743877,155,2.0,212,10.3,242,0.8,14.3,13.9,95.0,19.0,11.6,-,-,-,-,-,-,1009.6,1008.9,-,12.54,6708.950643776824,611.1261904761905
2021-10-30,4.922875,10.036125,0.2012553,0.9180576,21.2255402,27.5299282,173,1.4,69,10.3,296,0.0,14.2,12.0,76.0,18.6,12.0,-,-,-,-,-,-,1009.4,1008.7,-,21.92,5390.029288702929,300.85648148148147
2021-10-31,2.697875,9.65325,0.0845816,4.3028777,12.0145321,23.8361149,298,4.9,290,12.4,287,0.2,18.4,11.3,36.0,24.8,12.2,-,-,-,-,-,-,996.7,996.0,-,24.25,4629.410041841004,220.87962962962962
2021-11-01,6.117875,20.0165,0.1461135,2.4565468,26.715683,30.2725906,359,1.9,100,11.8,312,0.0,13.6,9.2,52.0,16.6,9.3,-,-,-,-,-,-,1013.1,1012.4,-,24.78,6097.362869198312,598.8101851851852
2021-11-02,5.99,17.152375,0.1115603,2.4439568,18.2487774,32.202446,167,4.1,159,9.8,194,0.4,12.5,8.7,57.0,14.1,8.2,-,-,-,-,-,-,1021.5,1020.8,-,8.62,5989.641255605381,607.3514851485148
2021-11-03,5.02175,13.4695,0.1616312,6.4769784,29.7487049,35.5835953,224,2.3,246,8.2,162,0.0,10.9,8.8,74.0,15.1,7.6,-,-,-,-,-,-,1035.9,1035.2,-,13.19,6154.573394495413,613.3959390862944
2021-11-04,6.9725,21.8585,0.1866454,2.771223,36.6055412,31.3734531,236,0.8,77,10.8,329,0.0,10.6,7.3,59.0,15.3,4.3,-,-,-,-,-,-,1036.1,1035.4,-,24.80,6177.600961538462,590.3730569948186
2021-11-05,6.116125,19.45175,0.1858653,2.4501439,32.1719437,28.6363316,20,3.0,71,9.3,200,0.0,12.8,9.2,59.0,17.2,10.1,-,-,-,-,-,-,1028.2,1027.5,-,23.91,6562.066513761468,608.8266331658291
2021-11-06,6.0329999999999995,16.678625,0.2070426,0.7964748,26.2961864,27.6404324,24,1.1,37,9.8,323,0.0,12.8,9.6,63.0,16.2,6.6,-,-,-,-,-,-,1025.5,1024.8,-,18.86,5263.378440366972,306.30904522613065
2021-11-07,4.908625,13.200875,0.1322908,4.2533094,13.5355396,10.168705,52,3.8,68,11.8,376,0.0,13.6,13.0,93.0,17.3,11.6,-,-,-,-,-,-,1019.5,1018.8,-,13.91,4466.488532110092,240.30402010050253
2021-11-08,4.292625,10.077625,0.1898369,6.0132374,29.7992802,21.3692799,55,2.6,79,8.8,227,0.0,13.1,11.8,85.0,18.3,12.3,-,-,-,-,-,-,1017.3,1016.6,-,15.61,5875.6100917431195,580.9145728643216
2021-11-09,5.914875,14.392875,0.2213759,1.1991367,34.0054665,23.4364758,55,2.8,78,7.7,242,0.0,13.1,12.6,94.0,15.9,11.7,-,-,-,-,-,-,1017.9,1017.2,-,6.90,5981.93488372093,586.0867346938776
2021-11-10,7.4455,17.4025,0.1429291,4.7586331,19.7266903,27.580864,225,3.3,204,9.3,273,0.0,15.5,13.3,77.0,20.9,13.0,-,-,-,-,-,-,1014.4,1013.7,-,21.84,6358.737442922375,624.1175
2021-11-11,4.449125,11.713375,0.203156,1.3489928,28.9794235,32.1239586,218,1.6,33,8.2,244,0.0,14.4,12.3,77.0,20.6,13.2,-,-,-,-,-,-,1015.5,1014.8,-,15.49,6720.504566210046,658.4625
