Date,Daily Average CO (mg/m3),Daily Average NO (ug/m3),Daily Average NO2 (ug/m3),Daily Average SO2 (ug/m3),Daily Average PM2.5 (ug/m3),Daily Average PM10 (ug/m3),WDir(Deg),WSpd(m/s),GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tdry(C),TWet(C),RH(%),Tmax(C),Tmin(C),Tgmin(C),ET05(C),ET10(C),ET20(C),ET30(C),ET100(C),Pmsl(hPa),Pstn(hPa),Sun(Hrs),Rad(MJ/m2),lightCount,heavyCount
2023-01-11,0.1337872,23.1941719,24.9094238,,2.475,14.6749999,71,2.2,187,9.3,253,0.0,18.5,15.0,67.0,24.5,15.4,-,-,-,-,-,-,1004.9,1004.2,-,16.17,5407.913461538462,515.984962406015
2023-01-12,0.0858794,12.4375696,10.4495831,,2.2833333,10.1541666,242,2.8,246,9.3,191,0.2,14.1,12.9,86.0,19.7,13.0,-,-,-,-,-,-,1012.0,1011.3,-,17.26,5754.627760252366,531.3805970149253
2023-01-13,0.1724468,31.5119419,19.824316,,3.0458333,12.5875001,77,0.7,59,8.2,166,0.0,15.5,12.2,66.0,21.6,12.6,-,-,-,-,-,-,1021.5,1020.8,-,26.82,4624.605678233438,305.23018867924526
2023-01-14,0.1749149,20.9407921,17.4152527,,2.75,12.8583335,157,1.0,100,6.7,180,0.0,18.3,13.4,54.0,22.5,9.4,-,-,-,-,-,-,1025.8,1025.1,-,22.81,4400.6328125,268.0279850746269
2023-01-15,0.0922057,13.9083452,9.7652521,,2.6416667,9.6291666,60,3.2,56,11.3,363,0.0,18.7,14.0,57.0,22.6,13.8,-,-,-,-,-,-,1028.5,1027.8,-,31.36,5383.479430379747,544.9720149253732
2023-01-16,0.1102199,21.503334,15.3642025,,3.6208333,15.0041667,61,3.6,66,10.8,265,0.0,18.3,15.5,73.0,22.6,15.5,-,-,-,-,-,-,1024.3,1023.6,-,30.99,5504.282051282052,560.7873134328358
2023-01-17,0.0878794,14.3643885,12.5106478,,5.15,16.7000001,218,3.3,221,11.3,219,0.0,18.8,18.1,93.0,21.6,13.6,-,-,-,-,-,-,1018.5,1017.8,-,12.77,5845.452961672474,602.0688259109312
2023-01-18,0.1304255,26.9787769,17.0529499,,3.6708333,13.1999998,23,2.1,30,10.3,351,0.0,18.6,15.0,66.0,22.1,15.5,-,-,-,-,-,-,1017.3,1016.6,-,28.17,5985.035353535353,594.1916996047431
2023-01-19,0.117305,21.8214588,11.006875,,4.1958334,18.2250002,59,4.5,59,12.9,409,0.0,19.1,16.3,74.0,22.6,16.1,-,-,-,-,-,-,1009.7,1009.0,-,28.80,6324.996610169492,603.2588235294118
2023-01-20,0.1504397,25.0578423,16.770792,,4.45,20.7625001,70,3.4,215,13.9,287,0.0,19.7,16.8,73.0,27.0,17.4,-,-,-,-,-,-,1002.7,1002.0,-,25.39,5072.645762711864,305.55882352941177
