Date (NZST), Nitrogen Dioxide 24 hr Average (ug/m3) (ug/m3), Data quality code
10/09/2018 00:00:00, 9.351, 200
11/09/2018 00:00:00, 15.514, 200
12/09/2018 00:00:00, 14.306, 200
13/09/2018 00:00:00, 20.853, 200
14/09/2018 00:00:00, 11.452, 200
15/09/2018 00:00:00, 24.611, 200
16/09/2018 00:00:00, 11.473, 200
17/09/2018 00:00:00, 6.023, 200
18/09/2018 00:00:00, 8.682, 200
19/09/2018 00:00:00, 15.491, 200
20/09/2018 00:00:00, 24.295, 200
21/09/2018 00:00:00, 24.276, 200
22/09/2018 00:00:00, 12.562, 200
23/09/2018 00:00:00, 9.496, 200
24/09/2018 00:00:00, 11.494, 200
25/09/2018 00:00:00, 10.466, 200
26/09/2018 00:00:00, 16.671, 200
27/09/2018 00:00:00, 12.599, 200
28/09/2018 00:00:00, 16.187, 200
29/09/2018 00:00:00, 17.888, 200
30/09/2018 00:00:00, 7.846, 200
01/10/2018 00:00:00, 3.812, 200
02/10/2018 00:00:00, 7.66, 200
03/10/2018 00:00:00, 11.01, 200
04/10/2018 00:00:00, 13.585, 200
05/10/2018 00:00:00, 8.579, 200
06/10/2018 00:00:00, 12.564, 200
07/10/2018 00:00:00, 12.549, 200
08/10/2018 00:00:00, 6.115, 200
09/10/2018 00:00:00, 13.489, 200
10/10/2018 00:00:00, 15.26, 200
11/10/2018 00:00:00, 6.929, 200
12/10/2018 00:00:00, 14.738, 200
13/10/2018 00:00:00, 7.145, 200
14/10/2018 00:00:00, 9.222, 200
15/10/2018 00:00:00, 11.293, 200
16/10/2018 00:00:00, 15.974, 200
17/10/2018 00:00:00, 12.564, 200
18/10/2018 00:00:00, 13.3, 200
19/10/2018 00:00:00, 20.615, 200
20/10/2018 00:00:00, 17.234, 200
21/10/2018 00:00:00, 4.99, 200
22/10/2018 00:00:00, 9.777, 200
23/10/2018 00:00:00, 13.324, 200
24/10/2018 00:00:00, 12.769, 200
25/10/2018 00:00:00, 9.433, 200
26/10/2018 00:00:00, 8.789, 200
27/10/2018 00:00:00, 13.186, 200
28/10/2018 00:00:00, 14.566, 200
29/10/2018 00:00:00, 7.272, 200
30/10/2018 00:00:00, 15.56, 200
31/10/2018 00:00:00, 7.918, 200
01/11/2018 00:00:00, 8.429, 200
02/11/2018 00:00:00, 6.251, 200
03/11/2018 00:00:00, 12.185, 200
04/11/2018 00:00:00, 5.033, 200
05/11/2018 00:00:00, 6.84, 200
06/11/2018 00:00:00, 13.015, 200
07/11/2018 00:00:00, 9.986, 200
08/11/2018 00:00:00, 5.837, 200
09/11/2018 00:00:00, 5.977, 200
10/11/2018 00:00:00, 8.409, 200
11/11/2018 00:00:00, 9.005, 200
12/11/2018 00:00:00, 13.58, 200
13/11/2018 00:00:00, 15.035, 200
14/11/2018 00:00:00, 12.354, 200
15/11/2018 00:00:00, 14.194, 200
16/11/2018 00:00:00, 11.549, 200
17/11/2018 00:00:00, 9.289, 200
18/11/2018 00:00:00, 5.65, 200
19/11/2018 00:00:00, 4.254, 200
20/11/2018 00:00:00, 9.906, 200
21/11/2018 00:00:00, 15.498, 200
22/11/2018 00:00:00, 14.418, 200
23/11/2018 00:00:00, 12.309, 200
24/11/2018 00:00:00, 11.169, 200
25/11/2018 00:00:00, 14.461, 200
26/11/2018 00:00:00, 8.607, 200
27/11/2018 00:00:00, 9.596, 200
28/11/2018 00:00:00, 6.87, 200
29/11/2018 00:00:00, 9.337, 200
30/11/2018 00:00:00, 7.977, 200
01/12/2018 00:00:00, 12.308, 200
02/12/2018 00:00:00, 11.821, 200
03/12/2018 00:00:00, 11.914, 200
04/12/2018 00:00:00, 12.522, 200
05/12/2018 00:00:00, 6.836, 200
06/12/2018 00:00:00, 6.789, 200
07/12/2018 00:00:00, 8.726, 200
08/12/2018 00:00:00, 9.123, 200
09/12/2018 00:00:00, 10.632, 200
10/12/2018 00:00:00, 7.611, 200
11/12/2018 00:00:00, 6.681, 200
12/12/2018 00:00:00, 12.15, 200
13/12/2018 00:00:00, 12.581, 200
14/12/2018 00:00:00, 9.233, 200
15/12/2018 00:00:00, 11.031, 200
16/12/2018 00:00:00, 5.447, 200
17/12/2018 00:00:00, 5.266, 200
18/12/2018 00:00:00, 9.012, 200
19/12/2018 00:00:00, 5.095, 200
20/12/2018 00:00:00, 13.6, 200
21/12/2018 00:00:00, 6.183, 200
22/12/2018 00:00:00, 10.095, 200
23/12/2018 00:00:00, 6.113, 200
24/12/2018 00:00:00, 4.606, 200
25/12/2018 00:00:00, 6.692, 200
26/12/2018 00:00:00, 5.009, 200
27/12/2018 00:00:00, 4.125, 200
28/12/2018 00:00:00, 7.32, 200
29/12/2018 00:00:00, 7.73, 200
30/12/2018 00:00:00, 4.801, 200
31/12/2018 00:00:00, 2.865, 200
01/01/2019 00:00:00, 6.965, 200
02/01/2019 00:00:00, 6.963, 200
03/01/2019 00:00:00, 6.967, 200
04/01/2019 00:00:00, 7.281, 200
05/01/2019 00:00:00, 7.576, 200
06/01/2019 00:00:00, 6.242, 200
07/01/2019 00:00:00, 2.823, 200
08/01/2019 00:00:00, 9.221, 200
09/01/2019 00:00:00, 9.731, 200
10/01/2019 00:00:00, 9.093, 200
11/01/2019 00:00:00, 3.547, 200
12/01/2019 00:00:00, 7.308, 200
13/01/2019 00:00:00, 7.619, 200
14/01/2019 00:00:00, 5.477, 200
15/01/2019 00:00:00, 6.9, 200
16/01/2019 00:00:00, 4.316, 200
17/01/2019 00:00:00, 7.076, 200
18/01/2019 00:00:00, 11.652, 200
19/01/2019 00:00:00, 11.418, 200
20/01/2019 00:00:00, 5.688, 200
21/01/2019 00:00:00, 4.007, 200
22/01/2019 00:00:00, 4.515, 200
23/01/2019 00:00:00, 10.586, 200
24/01/2019 00:00:00, 5.193, 200
25/01/2019 00:00:00, 7.319, 200
26/01/2019 00:00:00, 11.146, 200
27/01/2019 00:00:00, 5.307, 200
28/01/2019 00:00:00, 6.37, 200
29/01/2019 00:00:00, 7.909, 200
30/01/2019 00:00:00, 16.801, 200
31/01/2019 00:00:00, 10.336, 200
01/02/2019 00:00:00, 9.1, 200
02/02/2019 00:00:00, 5.527, 200
03/02/2019 00:00:00, 4.681, 200
04/02/2019 00:00:00, 8.384, 200
05/02/2019 00:00:00, 7.861, 200
06/02/2019 00:00:00, 7.268, 200
07/02/2019 00:00:00, 4.242, 200
08/02/2019 00:00:00, 6.515, 200
09/02/2019 00:00:00, 13.159, 200
10/02/2019 00:00:00, 8.278, 200
11/02/2019 00:00:00, 10.497, 200
12/02/2019 00:00:00, 13.192, 200
13/02/2019 00:00:00, 9.252, 200
14/02/2019 00:00:00, 13.639, 200
15/02/2019 00:00:00, 6.547, 200
16/02/2019 00:00:00, 10.057, 200
17/02/2019 00:00:00, 5.735, 200
18/02/2019 00:00:00, 7.347, 200
19/02/2019 00:00:00, 9.477, 200
20/02/2019 00:00:00, 10.205, 200
21/02/2019 00:00:00, 7.939, 200
22/02/2019 00:00:00, 11.927, 200
23/02/2019 00:00:00, 6.548, 200
24/02/2019 00:00:00, 7.692, 200
25/02/2019 00:00:00, 6.074, 200
26/02/2019 00:00:00, 5.73, 200
27/02/2019 00:00:00, 14.403, 200
28/02/2019 00:00:00, 6.524, 200
01/03/2019 00:00:00, 7.681, 200
02/03/2019 00:00:00, 14.167, 200
03/03/2019 00:00:00, 11.19, 200
04/03/2019 00:00:00, 10.152, 200
05/03/2019 00:00:00, 12.452, 200
06/03/2019 00:00:00, 13.502, 200
07/03/2019 00:00:00, 12.104, 200
08/03/2019 00:00:00, 5.45, 200
09/03/2019 00:00:00, 8.619, 200
10/03/2019 00:00:00, 11.623, 200
11/03/2019 00:00:00, 4.45, 200
12/03/2019 00:00:00, 12.968, 200
13/03/2019 00:00:00, 7.861, 200
14/03/2019 00:00:00, 6.774, 200
15/03/2019 00:00:00, 10.531, 200
16/03/2019 00:00:00, 13.791, 200
17/03/2019 00:00:00, 8.139, 200
18/03/2019 00:00:00, 5.08, 200
19/03/2019 00:00:00, 15.03, 200
20/03/2019 00:00:00, 14.63, 200
21/03/2019 00:00:00, 12.623, 200
22/03/2019 00:00:00, 11.649, 200
23/03/2019 00:00:00, 14.011, 200
24/03/2019 00:00:00, 14.98, 200
25/03/2019 00:00:00, 13.885, 200
26/03/2019 00:00:00, 6.382, 200
27/03/2019 00:00:00, 4.981, 200
28/03/2019 00:00:00, 7.896, 200
29/03/2019 00:00:00, 8.864, 200
30/03/2019 00:00:00, 15.514, 200
31/03/2019 00:00:00, 18.517, 200
01/04/2019 00:00:00, 12.277, 200
02/04/2019 00:00:00, 8.451, 200
03/04/2019 00:00:00, 9.651, 200
04/04/2019 00:00:00, 10.381, 200
05/04/2019 00:00:00, 17.016, 200
06/04/2019 00:00:00, 5.576, 200
07/04/2019 00:00:00, 3.885, 200
08/04/2019 00:00:00, 5.72, 200
09/04/2019 00:00:00, 8.614, 200
10/04/2019 00:00:00, 17.634, 200
11/04/2019 00:00:00, 6.051, 200
