Date,Daily Average NO2 (ug/m3),Daily Average O3 (ug/m3),Daily Average CO (mg/m3),Daily Average PM2.5 (ug/m3),Daily Average PM10 (ug/m3),WDir(Deg),WSpd(m/s),GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tdry(C),TWet(C),RH(%),Tmax(C),Tmin(C),Tgmin(C),ET05(C),ET10(C),ET20(C),ET30(C),ET100(C),Pmsl(hPa),Pstn(hPa),Sun(Hrs),Rad(MJ/m2),lightCount,heavyCount
2020-03-14,11.653391304347826,10.860041666666667,0.15021739130434783,3.3825833333333333,7.907208333333333,73,0.7,226,8.2,122,0.0,9.0,8.9,98.0,24.9,3.9,-1.2,-,13.1,15.9,-,18.1,1019.6,1013.4,11.5,21.23,7429.2663551401865,200.7710843373494
2020-03-15,12.303291666666667,12.104708333333333,0.12475000000000001,3.5427916666666666,7.569708333333334,146,0.4,250,7.2,180,0.0,8.5,8.3,97.0,25.4,2.5,-1.6,-,12.8,15.8,-,18.0,1017.1,1011.0,11.5,20.87,8379.117924528302,390.39506172839504
2020-03-16,7.18075,18.228375,0.07675,4.580125,11.1905,352,4.3,172,13.9,423,0.0,18.1,15.0,70.0,25.5,8.3,4.4,-,16.0,17.2,-,17.9,1010.1,1004.2,9.5,17.51,8366.087264150943,402.5740740740741
2020-03-17,4.92525,18.764791666666667,0.07408695652173913,7.747791666666667,24.424083333333332,176,5.7,164,17.0,372,0.0,11.7,8.9,66.0,14.9,11.6,10.8,-,15.7,17.4,-,17.9,1018.3,1012.2,0.3,6.85,8544.023364485982,428.578313253012
2020-03-18,10.117708333333335,18.787125,0.108375,2.6340833333333333,11.725916666666668,208,1.1,136,12.4,260,0.0,12.0,8.9,63.0,19.2,11.0,9.8,-,14.5,16.0,-,17.9,1022.4,1016.3,8.7,17.97,8503.941314553991,420.59638554216866
2020-03-19,8.482000000000001,18.100166666666667,0.08345833333333334,5.709208333333333,15.620875,329,4.9,359,14.4,419,0.0,16.7,13.9,72.0,21.2,11.8,6.0,-,16.2,17.2,-,17.8,1015.3,1009.3,4.7,13.96,8644.30751173709,419.93373493975906
2020-03-20,7.490608695652173,19.259458333333335,0.09656521739130434,6.555708333333333,16.066583333333334,20,2.9,344,9.3,229,0.0,17.4,14.8,74.0,22.6,14.0,8.9,-,15.8,17.0,-,17.7,1010.4,1004.5,5.8,12.58,6609.776995305165,221.00602409638554
2020-03-21,10.360875,16.242708333333333,0.09758333333333334,4.999916666666667,8.720416666666667,257,0.6,332,11.3,400,10.8,13.3,12.3,88.0,22.5,12.4,12.0,-,16.2,17.3,-,17.7,1017.6,1011.6,3.7,12.60,5607.699530516432,153.33734939759037
2020-03-22,2.6871666666666667,22.683374999999998,0.05379166666666666,6.207958333333334,11.537125000000001,308,5.8,304,14.4,467,0.0,18.3,15.9,77.0,21.7,13.2,14.0,-,17.3,17.8,-,17.7,1010.3,1004.4,8.7,17.09,7843.992957746479,370.60843373493975
2020-03-23,7.161083333333333,21.168083333333332,0.08365217391304347,3.314208333333333,6.9638947368421045,323,3.5,319,13.9,345,13.4,17.3,14.3,70.0,21.0,16.4,12.9,-,16.3,17.4,-,17.7,1006.5,1000.6,2.3,9.55,7689.06338028169,412.15060240963857
