Date,Daily Average CO (mg/m3),Daily Average NO (ug/m3),Daily Average NO2 (ug/m3),Daily Average SO2 (ug/m3),Daily Average PM2.5 (ug/m3),Daily Average PM10 (ug/m3),WDir(Deg),WSpd(m/s),GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tdry(C),TWet(C),RH(%),Tmax(C),Tmin(C),Tgmin(C),ET05(C),ET10(C),ET20(C),ET30(C),ET100(C),Pmsl(hPa),Pstn(hPa),Sun(Hrs),Rad(MJ/m2),lightCount,heavyCount
2020-01-11,0.20241666739130432,45.46398573913043,23.792536060869566,2.0224637695652175,4.7124999999999995,21.96666666666667,59,4.0,317,11.3,273,0.0,16.1,14.4,82.0,28.1,13.9,-,-,-,-,-,-,1011.9,1011.2,-,14.98,4266.464673913043,245.703125
2020-01-12,0.20725000217391304,22.62869588695652,17.11130434347826,2.3324637608695653,1.8499999999999999,13.333333333333334,74,2.7,316,13.4,348,0.0,24.0,17.4,49.0,31.9,16.0,-,-,-,-,-,-,1003.8,1003.1,-,24.82,5095.464673913043,479.221875
2020-01-13,0.20557971521739132,74.83731925217391,30.80442045652174,2.3559420217391307,4.879166666666667,17.416666666666668,18,1.2,241,9.8,206,0.0,15.8,11.8,59.0,19.4,12.7,-,-,-,-,-,-,1018.2,1017.5,-,21.01,5268.78835978836,499.25454545454545
2020-01-14,0.22775000652173913,80.69543448260869,32.319782499999995,2.2565217260869566,4.833333333333333,15.725000000000001,34,1.7,52,8.8,209,0.0,14.3,10.6,60.0,19.3,8.6,-,-,-,-,-,-,1027.2,1026.5,-,28.90,5511.644549763033,531.5729729729729
2020-01-15,0.2206920260869565,75.57318883478261,33.2059420173913,2.341304382608696,5.304166666666666,16.020833333333332,252,0.9,57,7.2,173,0.0,15.0,11.6,64.0,18.9,7.6,-,-,-,-,-,-,1025.4,1024.7,-,25.29,5901.0,550.1452513966481
2020-01-16,0.20101086739130436,71.41275380869565,29.179854969565216,1.9700000130434783,3.9250000000000003,12.420833333333334,22,1.7,48,11.8,355,0.0,14.5,11.2,65.0,18.5,7.9,-,-,-,-,-,-,1025.4,1024.7,-,29.65,6058.094527363184,538.5141242937854
2020-01-17,0.18452898260869566,64.33202911304348,23.85224643478261,1.657318847826087,1.741666666666667,9.095833333333333,27,3.0,53,11.8,373,0.0,15.6,12.5,68.0,19.6,12.9,-,-,-,-,-,-,1023.2,1022.5,-,27.66,4986.425641025641,295.71098265895955
2020-01-18,0.15322464130434785,33.83514512608696,18.785869560869568,2.2683333217391306,3.15,11.65,35,3.9,54,11.8,268,0.0,15.7,11.9,61.0,19.8,13.9,-,-,-,-,-,-,1021.2,1020.5,-,29.76,4784.0641025641025,275.2456647398844
2020-01-19,0.13814958426501034,28.09555584285714,14.575079228571429,2.319710117391304,1.1708333333333334,8.725,11,1.5,65,8.2,218,0.0,15.8,13.0,71.0,21.0,11.3,-,-,-,-,-,-,1020.2,1019.5,-,28.92,5606.65228426396,547.8757225433526
2020-01-20,0.16301811521739132,45.42528962173913,20.298333500000002,2.2475362173913043,0.8458333333333333,4.654166666666667,5,1.3,34,8.8,215,0.0,15.4,14.3,88.0,21.3,13.7,-,-,-,-,-,-,1018.7,1018.0,-,24.09,6297.952095808383,610.1879194630873
2020-01-21,0.16605039377470354,45.580872504761906,16.179682557142854,3.358333343478261,2.466666666666667,9.2875,38,2.1,80,10.3,320,0.0,17.9,15.9,80.0,22.3,15.2,-,-,-,-,-,-,1017.3,1016.6,-,22.41,6337.965408805031,621.7587412587412
